Pair ID,Schedule Type,Order Number,Scene Number,Actors,Equipment,Location,Duration
9,Schedule Plan 1,1,Scene 1,"Lena Schmidt, Jan Fischer","Camera Y, Tripod Z",Leipzig Hauptbahnhof,3h
9,Schedule Plan 1,2,Scene 2,"Jan Fischer, Marie Klein","Camera Y, Gimbal A",Völkerschlachtdenkmal,1h
9,Schedule Plan 1,3,Scene 3,"Marie Klein, Mark Weber","Gimbal A, Microphone B",Leipziger Zoo,2h
9,Schedule Plan 2,1,Scene 1,"Lena Schmidt, Jan Fischer","Camera Y, Tripod Z",Leipzig Hauptbahnhof,3h
9,Schedule Plan 2,2,Scene 3,"Marie Klein, Mark Weber","Gimbal A, Microphone B",Leipziger Zoo,2h
9,Schedule Plan 2,3,Scene 2,"Jan Fischer, Marie Klein","Camera Y, Gimbal A",Völkerschlachtdenkmal,1h
10,Schedule Plan 1,1,Scene 1,"Nora Fischer, Max Weber, Laura Müller","Lens L, Gimbal M",Berliner Fernsehturm,2h
10,Schedule Plan 1,2,Scene 2,"Max Weber, Clara Meyer, Laura Müller","Gimbal M, Drone N",Potsdamer Platz,1h
10,Schedule Plan 1,3,Scene 3,"Clara Meyer, Nora Fischer","Drone N, Lens S",Alexanderplatz,3h
10,Schedule Plan 2,1,Scene 1,"Nora Fischer, Max Weber, Laura Müller","Lens L, Gimbal M",Berliner Fernsehturm,2h
10,Schedule Plan 2,2,Scene 3,"Clara Meyer, Nora Fischer","Drone N, Lens S",Alexanderplatz,3h
10,Schedule Plan 2,3,Scene 2,"Max Weber, Clara Meyer, Laura Müller","Gimbal M, Drone N",Potsdamer Platz,1h
11,Schedule Plan 1,1,Scene 1,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,2h
11,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,1h
11,Schedule Plan 1,3,Scene 3,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,3h
11,Schedule Plan 1,4,Scene 4,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
11,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
11,Schedule Plan 2,1,Scene 1,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,2h
11,Schedule Plan 2,2,Scene 3,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,3h
11,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,1h
11,Schedule Plan 2,4,Scene 5,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
11,Schedule Plan 2,5,Scene 4,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
12,Schedule Plan 1,1,Scene 1,"Jordan Davis, Morgan Lee","Boom Mic D, Camera D",Zürich Zentrum,2h
12,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Boom Mic D, Camera D",Bellevue,3h
12,Schedule Plan 1,3,Scene 3,"Casey Johnson, Skyler Taylor","Boom Mic D, Camera D",Bahnhofstrasse,1h
12,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Boom Mic D, Camera D",Zürich Zentrum,2h
12,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Boom Mic D, Camera D",Bahnhofstrasse,1h
12,Schedule Plan 2,1,Scene 1,"Jordan Davis, Morgan Lee","Boom Mic D, Camera D",Zürich Zentrum,2h
12,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Boom Mic D, Camera D",Bahnhofstrasse,1h
12,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Boom Mic D, Camera D",Bellevue,3h
12,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Boom Mic D, Camera D",Zürich Zentrum,2h
12,Schedule Plan 2,5,Scene 3,"Casey Johnson, Skyler Taylor","Boom Mic D, Camera D",Bahnhofstrasse,1h
13,Schedule Plan 1,1,Scene 1,"Morgan Lee, Skyler Taylor","Drone H, Camera D",Bellevue,1h
13,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Casey Johnson","Drone H, Camera D",Bahnhofstrasse,2h
13,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jordan Davis","Drone H, Camera D",Zürich Zentrum,3h
13,Schedule Plan 1,4,Scene 4,"Jordan Davis, Jamie Taylor","Drone H, Camera D",Bellevue,2h
13,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone H, Camera D",Zürich Zentrum,1h
13,Schedule Plan 2,1,Scene 1,"Morgan Lee, Skyler Taylor","Drone H, Camera D",Bellevue,1h
13,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone H, Camera D",Zürich Zentrum,1h
13,Schedule Plan 2,3,Scene 3,"Casey Johnson, Jordan Davis","Drone H, Camera D",Zürich Zentrum,3h
13,Schedule Plan 2,4,Scene 2,"Skyler Taylor, Casey Johnson","Drone H, Camera D",Bahnhofstrasse,2h
13,Schedule Plan 2,5,Scene 4,"Jordan Davis, Jamie Taylor","Drone H, Camera D",Bellevue,2h
14,Schedule Plan 1,1,Scene 1,"Skyler Taylor, Casey Johnson","Microphone X, Camera E",Bellevue,3h
14,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jordan Davis","Microphone X, Camera E",Zürich Zentrum,2h
14,Schedule Plan 1,3,Scene 3,"Jordan Davis, Morgan Lee","Microphone X, Camera E",Bahnhofstrasse,1h
14,Schedule Plan 1,4,Scene 4,"Morgan Lee, Jamie Taylor","Microphone X, Camera E",Bellevue,3h
14,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Skyler Taylor","Microphone X, Camera E",Zürich Zentrum,1h
14,Schedule Plan 2,1,Scene 1,"Skyler Taylor, Casey Johnson","Microphone X, Camera E",Bellevue,3h
14,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Skyler Taylor","Microphone X, Camera E",Zürich Zentrum,1h
14,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jordan Davis","Microphone X, Camera E",Zürich Zentrum,2h
14,Schedule Plan 2,4,Scene 4,"Morgan Lee, Jamie Taylor","Microphone X, Camera E",Bellevue,3h
14,Schedule Plan 2,5,Scene 3,"Jordan Davis, Morgan Lee","Microphone X, Camera E",Bahnhofstrasse,1h
15,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jordan Davis","Camera A, Drone J",Bahnhofstrasse,2h
15,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Camera A, Drone J",Bellevue,3h
15,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Skyler Taylor","Camera A, Drone J",Zürich Zentrum,1h
15,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Camera A, Drone J",Bahnhofstrasse,2h
15,Schedule Plan 1,5,Scene 5,"Casey Johnson, Morgan Lee","Camera A, Drone J",Bellevue,1h
15,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jordan Davis","Camera A, Drone J",Bahnhofstrasse,2h
15,Schedule Plan 2,2,Scene 5,"Casey Johnson, Morgan Lee","Camera A, Drone J",Bellevue,1h
15,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Camera A, Drone J",Bellevue,3h
15,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Camera A, Drone J",Bahnhofstrasse,2h
15,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Skyler Taylor","Camera A, Drone J",Zürich Zentrum,1h
16,Schedule Plan 1,1,Scene 1,"Skyler Taylor, Morgan Lee","Boom Mic C, Camera B",Bahnhofstrasse,1h
16,Schedule Plan 1,2,Scene 2,"Morgan Lee, Casey Johnson","Boom Mic C, Camera B",Bellevue,2h
16,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Boom Mic C, Camera B",Zürich Zentrum,3h
16,Schedule Plan 1,4,Scene 4,"Jamie Taylor, Jordan Davis","Boom Mic C, Camera B",Bahnhofstrasse,2h
16,Schedule Plan 1,5,Scene 5,"Jordan Davis, Skyler Taylor","Boom Mic C, Camera B",Bellevue,1h
16,Schedule Plan 2,1,Scene 1,"Skyler Taylor, Morgan Lee","Boom Mic C, Camera B",Bahnhofstrasse,1h
16,Schedule Plan 2,2,Scene 5,"Jordan Davis, Skyler Taylor","Boom Mic C, Camera B",Bellevue,1h
16,Schedule Plan 2,3,Scene 2,"Morgan Lee, Casey Johnson","Boom Mic C, Camera B",Bellevue,2h
16,Schedule Plan 2,4,Scene 4,"Jamie Taylor, Jordan Davis","Boom Mic C, Camera B",Bahnhofstrasse,2h
16,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Boom Mic C, Camera B",Zürich Zentrum,3h
17,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
17,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
17,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
17,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
17,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
17,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
17,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
17,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
17,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
17,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
18,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
18,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
18,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
18,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
18,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
18,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
18,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
18,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
18,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
18,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
19,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
19,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
19,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
19,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
19,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
19,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
19,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
19,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
19,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
19,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
20,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
20,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
20,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
20,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
20,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
20,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
20,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
20,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
20,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
20,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
21,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
21,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
21,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
21,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
21,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
21,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
21,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
21,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
21,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
21,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
22,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
22,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
22,Schedule Plan 1,3,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
22,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
22,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
22,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
22,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
22,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
22,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
22,Schedule Plan 2,5,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
23,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
23,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
23,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
23,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
23,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
23,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
23,Schedule Plan 2,2,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
23,Schedule Plan 2,3,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
23,Schedule Plan 2,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
23,Schedule Plan 2,5,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
24,Schedule Plan 1,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
24,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
24,Schedule Plan 1,3,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
24,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
24,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
24,Schedule Plan 2,1,Scene 1,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bellevue,3h
24,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
24,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
24,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Bellevue,3h
24,Schedule Plan 2,5,Scene 3,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Bahnhofstrasse,1h
25,Schedule Plan 1,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
25,Schedule Plan 1,2,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
25,Schedule Plan 1,3,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
25,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
25,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
25,Schedule Plan 2,1,Scene 1,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Bellevue,3h
25,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
25,Schedule Plan 2,3,Scene 2,"Casey Johnson, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
25,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
25,Schedule Plan 2,5,Scene 3,"Morgan Lee, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
26,Schedule Plan 1,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
26,Schedule Plan 1,2,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
26,Schedule Plan 1,3,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
26,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
26,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
26,Schedule Plan 2,1,Scene 1,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
26,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,1h
26,Schedule Plan 2,3,Scene 2,"Jordan Davis, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,2h
26,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Jordan Davis","Drone J, Camera D",Bellevue,3h
26,Schedule Plan 2,5,Scene 3,"Morgan Lee, Casey Johnson","Drone J, Camera D",Bahnhofstrasse,1h
27,Schedule Plan 1,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
27,Schedule Plan 1,2,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
27,Schedule Plan 1,3,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
27,Schedule Plan 1,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
27,Schedule Plan 1,5,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
27,Schedule Plan 2,1,Scene 1,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Bellevue,3h
27,Schedule Plan 2,2,Scene 5,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Zürich Zentrum,1h
27,Schedule Plan 2,3,Scene 2,"Jordan Davis, Skyler Taylor","Drone J, Camera D",Zürich Zentrum,2h
27,Schedule Plan 2,4,Scene 4,"Skyler Taylor, Casey Johnson","Drone J, Camera D",Bellevue,3h
27,Schedule Plan 2,5,Scene 3,"Casey Johnson, Morgan Lee","Drone J, Camera D",Bahnhofstrasse,1h
28,Schedule Plan 1,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
28,Schedule Plan 1,2,Scene 2,"Skyler Taylor, Morgan Lee","Drone J, Camera D",Zürich Zentrum,2h
28,Schedule Plan 1,3,Scene 3,"Jamie Taylor, Jordan Davis","Drone J, Camera D",Bahnhofstrasse,1h
28,Schedule Plan 1,4,Scene 4,"Casey Johnson, Skyler Taylor","Drone J, Camera D",Bellevue,3h
28,Schedule Plan 1,5,Scene 5,"Morgan Lee, Jamie Taylor","Drone J, Camera D",Zürich Zentrum,1h
28,Schedule Plan 2,1,Scene 1,"Jordan Davis, Casey Johnson","Drone J, Camera D",Bellevue,3h
